                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.02345,                 8.8877,                 5.2697,                0.13872,                0.86881,                0.99988,                      1,                  0.995,                0.99486,                0.69286,                0.69291,                0.61027,                0.25467,                0.04514,                 6.1046,                 5.0476,                0.20349,                0.59201,               0.006172,               0.006172,               0.006172
                     61,                0.02283,                 8.8141,                 5.3116,                0.13682,                0.86956,                0.99988,                      1,                  0.995,                0.99483,                0.69914,                0.69921,                0.60527,                0.24695,                0.04407,                 6.0931,                 5.0664,                0.20206,                0.58504,               0.006106,               0.006106,               0.006106
                     62,                0.02303,                 8.8179,                 5.2645,                0.13526,                0.86802,                0.99988,                      1,                  0.995,                0.99459,                0.69283,                0.69291,                0.60716,                0.24835,                 0.0425,                 6.0891,                 5.0111,                0.20725,                0.57643,                0.00604,                0.00604,                0.00604
                     63,                0.02282,                 8.8335,                 5.2134,                0.13528,                0.86937,                0.99991,                      1,                  0.995,                0.99491,                0.69128,                0.69134,                0.60476,                0.25917,                 0.0426,                 6.0316,                   5.07,                0.20368,                 0.5748,               0.005974,               0.005974,               0.005974
                     64,                0.02274,                 8.7168,                 5.1376,                0.13633,                0.86969,                0.99991,                      1,                  0.995,                0.99493,                0.69759,                0.69764,                0.62467,                0.25726,                0.04264,                 6.0528,                 5.0967,                0.20517,                0.57653,               0.005908,               0.005908,               0.005908
                     65,                0.02255,                 8.7814,                 5.1105,                0.13404,                0.86937,                 0.9999,                      1,                  0.995,                0.99486,                0.70708,                0.70709,                0.62823,                0.25717,                0.04365,                 6.0366,                 5.0744,                0.20633,                0.58188,               0.005842,               0.005842,               0.005842
                     66,                0.02227,                 8.6793,                 5.1644,                0.13336,                0.86904,                0.99991,                      1,                  0.995,                 0.9949,                 0.6913,                0.69134,                0.60964,                0.25994,                0.04292,                 5.9899,                 5.1105,                0.20162,                0.57636,               0.005776,               0.005776,               0.005776
                     67,                 0.0222,                 8.6928,                 5.0331,                0.13312,                0.86913,                0.99991,                      1,                  0.995,                0.99498,                0.71332,                0.71339,                 0.6278,                0.26359,                0.04151,                 5.9455,                 5.1296,                0.19703,                0.56888,                0.00571,                0.00571,                0.00571
                     68,                0.02227,                 8.6997,                 5.1643,                0.13286,                0.86608,                0.99991,                      1,                  0.995,                  0.995,                0.70073,                0.70079,                0.61476,                0.26508,                 0.0413,                 5.9375,                  5.148,                0.19727,                 0.5682,               0.005644,               0.005644,               0.005644
                     69,                0.02197,                 8.5908,                 5.0888,                 0.1317,                0.87165,                0.99992,                      1,                  0.995,                0.99484,                0.70388,                0.70394,                0.62323,                0.26614,                0.04156,                 5.9498,                 5.1513,                0.19467,                0.56932,               0.005578,               0.005578,               0.005578
