domain,url,status,error,ind
bol.mortonarb.org,http://bol.mortonarb.org/MORTON2022/image/0050849MOR.jpg,200,Downloaded image. Final - 200 Initial - ,145
www.aubot.dk,http://www.aubot.dk/specimenimages/typeimages_1/MORA-Jaramillo7055-1.jpg,200,Downloaded image. Final - 200 Initial - ,146
ipt.upsl.edu.pl,https://ipt.upsl.edu.pl/images/SLTC022213.jpg,False,"Max retries exceeded, could not download the image.",147
ngcpr.org,https://ngcpr.org/magnify/smImg/FicusExasperataNgcpr01325.jpg,200,Downloaded image. Final - 200 Initial - ,148
drive.google.com,https://drive.google.com/file/d/1y5_7YT1oQaB_UCuCcTbFbVIv2yjqq5UD/view?usp=sharing,200,Downloaded image. Final - 200 Initial - ,149
portal.torcherbaria.org,https://portal.torcherbaria.org/imglib/seinet/torch/BRIT/202006/Crabweed4_1591575789_lg.jpeg,200,Downloaded image. Final - 200 Initial - ,150
www.inaturalist.org,https://www.inaturalist.org/observations/110821555,200,Downloaded image. Extracted canvas LOWRES url from dynamic image viewer.,151
biorepo.neonscience.org,https://biorepo.neonscience.org/imglib/neon/NEON_TPLC-HV/B00000084/B00000084052_lg.jpg,200,Downloaded image. Final - 200 Initial - ,152
s3.us-east-2.amazonaws.com,https://s3.us-east-2.amazonaws.com/natureatlas.org/specimens/439823.jpg,200,Downloaded image. Final - 200 Initial - ,153
herbarium.bioenv.gu.se,http://herbarium.bioenv.gu.se/web/images/GB-0048196.jpg,False,"Max retries exceeded, could not download the image.",154
ngpherbaria.org,https://ngpherbaria.org/imglib/seinet/ngph/BHSC/BHSC0040/BHSC0040386_1612645603_lg.jpg,200,Downloaded image. Final - 200 Initial - ,155
s3.hpc.ut.ee,https://s3.hpc.ut.ee/plutof-public/large/190ddc54-bd6f-477d-afb5-5316e8099654.jpg,200,Downloaded image. Final - 200 Initial - ,156
jbrj-public.s3.amazonaws.com,http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/3/35/57/alcb00033557.dzi,403,Error cannot identify image file <_io.BytesIO object at 0x000001D4EAD2E160>,157
hosting03.snu.ac.kr,http://hosting03.snu.ac.kr/~quercus1/E/Taquet/Moraceae/Taquet%205974%20Morus%20bombycis%20E.JPG,200,Downloaded image. Final - 200 Initial - ,158
s3.amazonaws.com,https://s3.amazonaws.com/huhwebimages/94E694A0B87F4E4/type/full/34604.jpg,200,Downloaded image. Final - 200 Initial - ,159
