domain,url
mnhn.picturae.com,http://mnhn.picturae.com/MNHN/2016/05/27/CP1_20160527_BATCH_0001/jpg/BESA016780.jpg
dataflos.sav.sk:8080,http://dataflos.sav.sk:8080/scans/nabelek/jpeg/SAV0003518.jpg
digibug.ugr.es,https://digibug.ugr.es/bitstream/handle/10481/60464/GDA28737.jpg?sequence=1&isAllowed=y
portal.neherbaria.org,https://portal.neherbaria.org/imglib/cnh/VT/UVMVT097/UVMVT097411_1532026871_lg.jpg
floragridmap.uz,https://floragridmap.uz/uploads/original_scans/jpg/collections/TASH003104.jpg
herbariumle.ru,https://herbariumle.ru/data/upload/db_le_herbarium/THUMB/0081/0081953.jpg
herbarium.cc.umanitoba.ca,http://herbarium.cc.umanitoba.ca/Lonicera%20villosa/36086.jpg
collections.lib.utah.edu,https://collections.lib.utah.edu/file?id=2385071
rhoenmuseum-fladungen.sesam.senckenberg.de,http://rhoenmuseum-fladungen.sesam.senckenberg.de/pictures/originale/632/13934.jpg
serv.biokic.asu.edu,https://serv.biokic.asu.edu/imglib/seinet/ASU/ASU0128/ASU0128968_lg.jpg
gwdu64.gwdg.de,https://gwdu64.gwdg.de/images/forster/overview/259_Prodr_Nr_366_b_1.jpg
ph.ansp.org,http://ph.ansp.org/image/Spermatophyte/Fullsize/00762/PH00762308.jpg
www.ucm.es,https://www.ucm.es/herbariomacb/file/macb008928/?ver
colecciones.uv.es,https://colecciones.uv.es/files/large/d895869ec9bc65f5d2f516a8277e2828f5f0602e.jpg
storage.gbif-no.sigma2.no,https://storage.gbif-no.sigma2.no/ipt-ukraine-img/2758ae0b-88ac-4e59-8fa8-7f2890317ca0/108000.JPG
herbarium.bio.vsu.ru,http://herbarium.bio.vsu.ru/data/upload/db_vor_herbarium/BIG/0008/0008938.jpg
usuherbarium.usu.edu,http://usuherbarium.usu.edu/UTCimages/270/UTC00267599.jpg
www.ngbif.org.ng,http://www.ngbif.org.ng/pp/FHI0040052.jpg
farm2.staticflickr.com,https://farm2.staticflickr.com/1917/43623953290_74d929cf04_o_d.jpg
specify-att.isa.ulisboa.pt,https://specify-att.isa.ulisboa.pt/static/originals/sp67499002176161458909.att.jpg
biimages.biodiversity.ku.edu,http://biimages.biodiversity.ku.edu/static/VascularPlant/originals/2015_02_05-KANU00327293.jpg
lod.ansp.org,http://lod.ansp.org/images/Botany/FULLSIZE/PH/00133/PH00133935.jpg
farm5.staticflickr.com,https://farm5.staticflickr.com/4870/45842461624_7c6e5b21b3_o_d.jpg
farm8.staticflickr.com,https://farm8.staticflickr.com/7838/32692916738_44f1560dd5_o_d.jpg
media.api.aucklandmuseum.com,http://media.api.aucklandmuseum.com/id/media/v/552436?rendering=original.jpg
bry.byu.edu,http://bry.byu.edu/Herbarium/imgbry/01/0127/BRYV0127951_lg.jpg
jbrj-public.s3-sa-east-1.amazonaws.com,http://jbrj-public.s3-sa-east-1.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/7/27/48/alcb00072748.dzi
www.sernecportal.org,https://www.sernecportal.org/imglib/seinet/sernec/LFCC/LFCC-0007/LFCC-0007872.jpg
bol.mortonarb.org,http://bol.mortonarb.org/MORTON2022/image/0050849MOR.jpg
www.aubot.dk,http://www.aubot.dk/specimenimages/typeimages_1/MORA-Jaramillo7055-1.jpg
ipt.upsl.edu.pl,https://ipt.upsl.edu.pl/images/SLTC022213.jpg
ngcpr.org,https://ngcpr.org/magnify/smImg/FicusExasperataNgcpr01325.jpg
drive.google.com,https://drive.google.com/file/d/1y5_7YT1oQaB_UCuCcTbFbVIv2yjqq5UD/view?usp=sharing
portal.torcherbaria.org,https://portal.torcherbaria.org/imglib/seinet/torch/BRIT/202006/Crabweed4_1591575789_lg.jpeg
www.inaturalist.org,https://www.inaturalist.org/observations/110821555
biorepo.neonscience.org,https://biorepo.neonscience.org/imglib/neon/NEON_TPLC-HV/B00000084/B00000084052_lg.jpg
s3.us-east-2.amazonaws.com,https://s3.us-east-2.amazonaws.com/natureatlas.org/specimens/439823.jpg
herbarium.bioenv.gu.se,http://herbarium.bioenv.gu.se/web/images/GB-0048196.jpg
ngpherbaria.org,https://ngpherbaria.org/imglib/seinet/ngph/BHSC/BHSC0040/BHSC0040386_1612645603_lg.jpg
s3.hpc.ut.ee,https://s3.hpc.ut.ee/plutof-public/large/190ddc54-bd6f-477d-afb5-5316e8099654.jpg
jbrj-public.s3.amazonaws.com,http://jbrj-public.s3.amazonaws.com/fsi/server?type=image&source=DZI/alcb/alcb/0/3/35/57/alcb00033557.dzi
hosting03.snu.ac.kr,http://hosting03.snu.ac.kr/~quercus1/E/Taquet/Moraceae/Taquet%205974%20Morus%20bombycis%20E.JPG
s3.amazonaws.com,https://s3.amazonaws.com/huhwebimages/94E694A0B87F4E4/type/full/34604.jpg
